Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
AllianceHealth Durant,"1800 University Boulevard Durant, OK",c,c,c,c,c,c,c,0,0.321,-1,0,-1,0,0.91,174.48,0.22,11.04,4.08,1.43,45,100,48,74,81,55.38,0.14,0.448,0,90.91,120,29.41,5,91,89,82
AllianceHealth Midwest,"2825 Parklawn Drive Midwest City, OK",d,d,c,d,d,d,d,1.433,0.383,1.365,1.722,-1,0,1.19,167.2,0.31,10.32,2.96,1.3,100,100,60,72,77,120,0.43,0.989,0,100,120,100,5,86,85,78
Alomere Health,"111 17th Avenue E. Alexandria, MN",c,c,b,b,a,b,a,-1,1.138,-1,2.796,0.784,0,0.94,-1,0.26,7.16,2.99,1.24,45,45,-2,79,88,-2,0.32,0.747,0,-2,-2,-2,5,93,93,87
Alta View Hospital,"9660 South 1300 East Sandy, UT",a,a,b,b,a,a,b,-1,0.4,-1,-1,-1,0,0.94,-1,0.26,7.87,4.15,1.22,70,100,60,79,87,110.77,0.35,0,0,100,120,100,50,93,92,84
Alton Memorial Hospital,"1 Memorial Drive Alton, IL",c,c,c,c,b,b,a,0,1.119,0,1.04,-1,0,0.9,166.14,0.32,3.94,4.5,1.08,45,45,-2,79,89,-2,1,0.754,0,-2,-2,-2,5,89,90,85
AnMed Health Medical Center,"800 N. Fant Street Anderson, SC",c,c,c,c,a,b,b,1.39,0.594,0.38,0.393,0.236,0,1.08,176.24,0.27,6.33,2.27,1.02,45,45,-2,77,87,-2,0.46,0.375,0,-2,-2,-2,5,91,92,84
Altru Health System,"1200 South Columbia Road Grand Forks, ND",b,b,c,c,b,c,b,0,0.765,0.79,0.527,2.187,0,1.09,168.5,0.2,5.62,4.11,0.94,100,100,60,78,87,110.77,2.35,0.643,0,100,120,100,100,91,91,83
American Fork Hospital,"170 North 1100 East American Fork, UT",a,a,b,b,c,c,b,-1,0.326,-1,-1,0,0,0.93,-1,0.26,5.54,3.67,1.49,70,100,60,79,88,120,0.29,0,0,100,120,100,50,93,92,86
Alvarado Hospital Medical Center,"6655 Alvarado Road San Diego, CA",a,a,a,b,c,c,c,0.85,0.763,0.435,1.569,-1,0,0.93,167.35,0.22,4.22,2.79,1.1,100,100,60,79,82,120,0.18,0,0,90.91,120,100,100,87,90,84
Anna Jaques Hospital,"25 Highland Avenue Newburyport, MA",c,c,b,b,c,b,b,-1,0.997,1.8,0.721,2.225,0,1.21,-1,0.23,7.2,4.1,1.16,40,50,60,80,91,120,0.19,0.392,0,100,120,100,5,90,93,88
Andalusia Health,"849 S. Three Notch Street Andalusia, AL",b,b,b,b,b,b,a,-1,0.223,-1,0,-1,0,0.92,-1,0.25,-1,3.58,1.18,70,100,60,75,85,120,0.22,0,0,100,101.54,100,5,90,88,80
Anderson Regional Medical Center - North,"2124 14th Street Meridian, MS",c,c,c,b,b,b,b,0.864,0.847,0.334,0.604,1.09,0,1.11,211.51,0.25,13.29,3.89,1.31,-2,-2,-2,82,86,-2,0.31,0.497,0,-2,-2,-2,5,93,91,85
Anderson Hospital,"6800 Illinois Route 162 Maryville, IL",c,b,b,b,c,c,c,0.803,0.604,2.288,0,0,0,0.89,171.01,0.28,3.86,3.81,1.09,45,45,-2,82,91,-2,0.75,0.212,0,-2,-2,-2,5,93,92,88
Antelope Valley Hospital,"1600 W. Avenue J Lancaster, CA",d,c,c,c,c,f,ns,1.624,0.632,1.282,0.927,1.132,0,1.13,182.79,0.48,8.33,3.97,0.97,40,-2,60,67,78,120,0.52,0.899,0,100,120,100,100,87,89,79
Anne Arundel Medical Center,"2001 Medical Parkway Annapolis, MD",a,a,a,a,b,c,ns,0.919,1.022,0.345,1.016,1.249,0.097,0.93,185.97,0.22,2.69,3.72,1.33,100,100,60,77,86,120,0.14,0.341,0,100,120,100,100,92,92,87
Arkansas Methodist Medical Center,"900 West Kingshighway Paragould, AR",c,c,c,c,c,c,c,-1,0.325,-1,0.479,-1,0,0.91,-1,0.29,-1,3.5,1.18,45,45,-2,74,83,-2,0.2,0.34,0,-2,-2,-2,5,91,90,83
Annie Penn Hospital,"618 S Main St Reidsville, NC",a,a,a,a,b,a,a,-1,0,-1,-1,1.806,0,0.73,188.87,0.23,6.33,2.72,1.16,100,75,60,77,86,120,0.31,0.609,0,100,120,100,100,92,91,84
Arrowhead Regional Medical Center,"400 N. Pepper Avenue Colton, CA",b,b,a,a,a,b,c,0.454,0.177,0.511,1.191,1.52,0,0.9,168.61,0.29,8.66,3.4,1.14,100,100,60,77,84,120,0.46,0.561,0,100,110.77,100,100,89,89,78
Arroyo Grande Community Hospital,"345 S. Halcyon Road Arroyo Grande, CA",a,a,a,c,b,b,b,-1,0.599,-1,-1,-1,0,1.08,209.35,0.23,6.47,2.64,1.46,100,100,60,81,89,120,0.07,0.195,0,100,120,100,5,91,91,84
Arnot Ogden Medical Center,"600 Roe Avenue Elmira, NY",d,d,c,c,c,c,d,0.909,0.456,0.776,0.524,0.673,0.141,0.89,182.38,0.28,9.13,3.51,1.04,45,45,-2,76,88,-2,1.25,0.707,0,-2,-2,-2,5,91,91,84
Asante Ashland Community Hospital,"280 MAPLE STREET Ashland, OR",c,b,a,a,ns,b,a,-1,0.653,-1,-1,-1,0,0.93,-1,0.26,5.59,3.78,1.22,100,100,60,77,89,110.77,0.33,1.625,0,100,120,100,5,92,92,88
Asante Rogue Regional Medical Center,"2825 E BARNETT RD Medford, OR",a,a,a,a,a,b,a,0.794,0.373,0.121,0.709,0.618,0,0.73,179.33,0.2,3.2,2.96,0.92,70,100,60,81,90,120,0.35,0.269,0,100,120,100,100,91,92,84
Ascension All Saints Hospital - Spring Street Campus,"3801 Spring Street Racine, WI",c,d,d,d,d,c,c,0.384,0.549,0.327,0.46,0,0,0.87,164.09,0.38,14.02,4.53,2.4,45,45,-2,77,88,-2,1.02,0.436,0,-2,-2,-2,-2,91,90,84
Asante Three Rivers Medical Center,"500 SW Ramsey Ave Grants Pass, OR",a,a,a,a,b,a,a,1.919,0.257,0,0.969,0.806,0,0.87,183.05,0.22,4.81,3.61,0.98,70,100,60,78,90,120,0.13,0,0,100,120,100,5,90,92,87
Ascension Borgess Hospital,"1521 Gull Road Kalamazoo, MI",c,c,c,c,c,c,c,0.17,0.43,0.37,0.75,0.888,0.085,0.77,182.48,0.37,7.81,2.81,1.34,45,45,-2,75,88,-2,0.13,0.51,0,-2,-2,-2,85,88,89,81
Ascension Columbia St Mary's Hospital Milwaukee,"2301 N. Lake Dr. Milwaukee, WI",c,c,ns,c,c,c,c,0.202,0.99,0.626,1.072,0.358,0,0.9,148.86,0.26,9.63,5.39,1.07,45,45,-2,79,87,-2,0.47,0.979,0,-2,-2,-2,-2,91,90,81
Ascension Columbia St Mary's Hospital Ozaukee,"13111 N. Port Washington Road Mequon, WI",c,c,c,c,c,c,c,0,0.44,0,0.999,1.055,0,0.9,160.64,0.23,5.2,4.38,1.1,45,45,-2,81,87,-2,0.94,1.054,0,-2,-2,-2,-2,91,91,83
Ascension Genesys Hospital,"One Genesys Parkway Grand Blanc, MI",c,c,c,c,ns,ns,ns,1.064,1.262,0.324,1.31,0.42,0,0.76,171.08,0.27,8.12,4.01,1.19,45,45,-2,76,88,-2,0.48,0.448,0,-2,-2,-2,5,88,90,88
"Ascension Macomb-Oakland Hospital, Madison Heights Campus","27351 Dequindre Road Madison Heights, MI",d,d,c,c,d,d,d,0.929,0.647,1.006,1.186,0.773,0,0.79,161.1,0.25,7.59,2.5,0.95,45,45,-2,72,85,-2,0.38,0.33,0,-2,-2,-2,5,87,88,81
"Ascension Macomb-Oakland Hospital, Warren Campus","11800 Twelve Mile Rd Warren, MI",d,d,c,c,d,d,d,0.929,0.647,1.006,1.186,0.773,0,0.79,161.1,0.25,7.59,2.5,0.95,45,45,-2,72,85,-2,0.38,0.33,0,-2,-2,-2,5,87,88,81
Ascension NE Wisconsin - Mercy Campus,"500 S. Oakwood Road Oshkosh, WI",c,c,c,c,c,c,d,1.412,0.525,1.477,1.775,0.852,0,0.92,188.77,0.3,7.55,2.98,1.15,45,45,-2,82,90,-2,0.53,0,0,-2,-2,-2,-2,92,92,88
"Ascension Providence Hospital, Novi Campus","47601 Grand River Avenue Novi, MI",b,b,b,b,c,ns,ns,0.622,0.35,1.151,0.289,0.382,0.044,0.72,124.57,0.2,6.7,4.27,0.77,-2,-2,-2,77,87,-2,0.12,0.218,0,-2,-2,-2,5,90,91,85
Ascension NE Wisconsin - St Elizabeth Campus,"1506 S. Oneida Street Appleton, WI",c,c,c,c,b,b,b,1.412,0.525,1.477,1.775,0.852,0,0.92,188.77,0.3,7.55,2.98,1.15,45,45,-2,82,90,-2,0.53,0,0,-2,-2,-2,-2,92,92,88
"Ascension Providence Hospital, Southfield Campus","16001 W. Nine Mile Road Southfield, MI",b,b,b,b,c,ns,ns,0.622,0.35,1.151,0.289,0.382,0.044,0.72,124.57,0.2,6.7,4.27,0.77,-2,-2,-2,77,87,-2,0.12,0.218,0,-2,-2,-2,5,90,91,85
Ascension River District Hospital,"4100 River Road East China, MI",c,c,c,b,ns,ns,ns,-1,1.563,-1,-1,-1,0,0.94,-1,0.26,7.04,3.53,1.25,45,45,-2,78,86,-2,0.36,0.803,0,-2,-2,-2,-1,92,91,88
Ascension Providence Rochester Hospital,"1101 W. University Drive Rochester, MI",d,d,c,c,b,b,ns,2.394,1.111,0.388,0.386,0.568,0.148,0.86,145.16,0.41,5.6,2.72,1.24,45,45,-2,77,88,-2,0.8,0.739,0,-2,-2,-2,5,91,91,87
Ascension SE Wisconsin Hospital - Elmbrook Campus,"19333 W. North Avenue Brookfield, WI",c,c,c,c,c,c,ns,0,0.491,0.454,1.339,0.8,0,0.87,151.37,0.27,12.33,5.85,1.24,45,45,-2,80,88,-2,0.64,0.743,0,-2,-2,-2,-1,92,91,84
Ascension SE Wisconsin Hospital - Franklin Campus,"10101 South 27th Street Franklin, WI",c,c,c,d,b,b,b,0,0.491,0.454,1.339,0.8,0,0.87,151.37,0.27,12.33,5.85,1.24,45,45,-2,80,88,-2,0.64,0.743,0,-2,-2,-2,-2,92,91,84
Ascension St Mary's Hospital,"800 S. Washington Avenue Saginaw, MI",c,c,c,c,c,b,c,3.213,0.617,0.117,0.817,0.593,0,0.82,209.51,0.35,5.85,4.55,0.88,70,75,-2,77,88,-2,0.44,0.73,0,-2,-2,-2,100,89,90,86
Ascension SE Wisconsin Hospital - St. Joseph Campus,"5000 W Chambers St Milwaukee, WI",c,c,c,c,c,c,c,0,0.491,0.454,1.339,0.8,0,0.87,151.37,0.27,12.33,5.85,1.24,45,45,-2,80,88,-2,0.64,0.743,0,-2,-2,-2,-1,92,91,84
Ascension Sacred Heart Pensacola,"5151 N Ninth Ave Pensacola, FL",b,b,b,c,c,c,c,0.461,0.466,0.403,1.095,0.119,0,1.21,169.56,0.2,7.52,2.55,1.21,40,75,60,77,86,120,0.91,0.443,0,100,120,100,100,91,90,84
Ascension St John Hospital,"22101 Moross Dr Detroit, MI",c,d,c,c,c,c,c,1.04,0.647,0.569,0.484,0.681,0,0.78,199.34,0.19,9.53,4.03,1.46,-2,-2,-2,75,85,-2,0.14,0.636,0,-2,-2,-2,100,89,89,81
Ascension St Michael's Hospital,"900 Illinois Avenue Stevens Point, WI",c,b,ns,ns,ns,ns,ns,-1,0.412,-1,-1,0,0,0.93,-1,0.25,7.05,2.84,1.52,5,45,-2,84,90,-2,0.23,0.348,0,-2,-2,-2,-1,91,92,85
Ascension St. Clare's Hospital,"3400 Ministry Parkway Weston, WI",c,c,c,c,b,a,a,-1,1.166,0,1.392,0,0,0.91,200.32,0.26,14.06,4.71,1.1,45,45,-2,81,89,-2,0.13,0.234,0,-2,-2,-2,-1,91,91,84
Ascension St. Francis Hospital,"3237 South 16th Street Milwaukee, WI",d,d,d,d,c,c,c,0,0.688,1.18,2.796,-1,0,0.91,171.77,0.24,14.37,5.06,1.13,45,45,-2,78,86,-2,0.43,1.494,0,-2,-2,-2,-2,90,90,85
Ascension Via Christi Hospital,"1 Mt. Carmel Way Pittsburg, KS",c,b,c,c,c,c,c,-1,0.181,-1,-1,0.876,0,0.91,160.89,0.24,6.39,3.45,1.47,45,45,-2,77,89,-2,0.27,0,0,-2,-2,-2,5,91,91,88
Ascension St. Mary's Hospital,"2251 North Shore Drive Rhinelander, WI",d,d,ns,ns,c,c,c,-1,1.157,-1,-1,-1,0,0.92,-1,0.36,6.89,4.46,1.82,5,45,-2,79,88,-2,0.28,0,0,-2,-2,-2,-1,90,91,86
Ashley Regional Medical Center,"150 West 100 North Vernal, UT",a,a,a,a,ns,ns,a,-1,0.385,-1,-1,-1,0,0.94,-1,0.26,6.91,3.54,1.24,70,75,60,79,87,120,0.42,0,0,100,120,100,5,90,89,90
Ascension St. Vincent's Riverside,"1 Shircliff Way Jacksonville, FL",a,c,b,b,a,a,b,0.63,0.286,0.623,0.648,0.813,0,0.75,133.68,0.23,12.92,2.5,1.07,70,75,60,76,87,110.77,0.3,0.242,0,100,110.77,100,100,90,90,81
Ashtabula County Medical Center,"2420 Lake Avenue Ashtabula, OH",a,a,a,b,b,c,c,-1,0.425,0,0.267,-1,0,0.91,-1,0.38,10.86,4.57,1.46,-2,-2,-2,82,91,-2,0.79,0.236,0,-2,-2,-2,5,92,94,90
Aspirus Riverview Hospital,"410 Dewey Street Wisconsin Rapids, WI",b,b,b,b,b,a,a,-1,0.92,-1,0,-1,0,0.94,-1,0.25,5.42,3.09,1.18,45,45,-2,83,90,-2,0.29,0.531,0,-2,-2,-2,-1,91,92,87
Atlanta Medical Center,"303 Parkway Drive NE Atlanta, GA",d,d,d,d,d,d,c,1.769,0.03,0.92,0.805,2.922,0,1.19,170.21,0.22,6.39,5.39,1.65,100,100,60,68,75,120,0.5,1.089,0,100,120,100,5,88,85,75
Aspirus Wausau Hospital,"333 Pine Ridge Boulevard Wausau, WI",c,b,c,c,b,c,c,0.525,0.522,0.894,0.583,1.009,0,1.05,170.4,0.18,7.32,3.06,1.03,45,45,-2,82,91,-2,0.35,0.33,0,-2,-2,-2,5,92,92,86
Athens-Limestone Hospital,"700 W. Market Street Athens, AL",c,c,c,b,c,c,c,-1,0.712,0.967,2.796,-1,0,0.91,177.14,0.29,7.95,3.63,1.15,45,45,-2,78,87,-2,0.81,0.305,0,-2,-2,-2,5,93,94,85
Atlanticare Regional Medical Center - City Campus,"1925 Pacific Avenue Atlantic City, NJ",b,b,b,a,b,b,c,0,0.644,1.288,1.34,1.18,0.047,0.75,203.35,0.24,4.79,4.05,1.65,100,100,60,76,86,120,0.74,0.374,0,100,120,100,85,90,92,85
Atlanta Medical Center South Campus,"1170 Cleveland Avenue East Point, GA",d,d,c,d,d,c,c,1.456,0,0.879,0.952,-1,0,1.19,170.21,0.22,6.39,5.39,1.65,100,100,60,68,75,120,0.5,1.089,0,100,120,100,5,88,85,75
Atlantic General Hospital,"9733 Healthway Drive Berlin, MD",b,b,ns,ns,ns,c,ns,-1,0.727,-1,0.96,1.112,0,0.89,159.28,0.24,6.4,3.36,1,45,45,-2,80,92,-2,0.41,0.715,0,-2,-2,-2,-2,93,93,86
Atlanticare Regional Medical Center-Mainland Campus,"65 W. Jimmie Leeds Road Pomona, NJ",b,b,b,a,b,b,c,0.67,0.593,1.069,0.482,0.993,0.047,0.75,203.35,0.24,4.79,4.05,1.65,100,100,60,76,86,120,0.74,0.374,0,100,120,100,85,90,92,85
Atrium Health Lincoln,"433 McAlister Rd Lincolnton, NC",a,b,c,c,b,a,a,-1,0,0,0.587,1.699,0,0.92,-1,0.24,5.86,3.53,1.17,100,100,60,80,87,120,0.18,1.465,0,100,120,100,5,94,94,84
Atrium Health Cabarrus,"920 Church Street Concord, NC",b,a,a,a,a,a,b,0.695,0.432,0.926,0.227,1.428,0,0.75,155.89,0.23,8.44,6.24,0.7,100,100,60,79,85,120,1.35,1.04,0,100,120,100,100,92,91,83
Atrium Health Cleveland,"201 East Grover St Shelby, NC",b,b,b,c,a,a,a,0,0.419,0.299,2.105,0.999,0,0.87,187.93,0.26,7.28,3.28,1.51,100,100,60,79,87,120,0.71,1.103,0,100,120,100,15,91,93,87
Atrium Health Union,"600 Hospital Drive Monroe, NC",a,b,b,c,c,c,b,1.988,0.257,1.302,0,1.07,0,0.88,140.28,0.26,4.61,5,1.04,100,100,60,79,87,120,0.84,0.158,0,100,120,100,100,92,92,83
Atrium Health Pineville,"10628 Park Rd Charlotte, NC",c,c,c,c,a,a,a,1.875,0.38,1.117,0.74,0.441,0,0.84,173.98,0.39,5.67,5.41,1.07,100,100,60,77,84,120,0.46,1.243,0,100,120,100,15,91,91,81
Augusta Health,"78 Medical Center Drive Fishersville, VA",c,c,c,b,b,a,c,0,0.368,0.582,2.085,0.391,0,0.84,149.44,0.27,5.78,3.77,1.34,70,100,30,77,87,55.38,0.74,0.1,0,90.91,120,100,50,93,92,86
Atrium Health University City,"8800 N. Tryon Street Charlotte, NC",a,a,a,a,a,b,b,0,0.374,1.303,0,0.779,0,0.92,166.61,0.25,5.74,5.33,1.44,100,100,60,79,86,120,0.19,0.328,0,100,120,100,15,92,91,83
Atrium Medical Center,"1 Medical Center Drive Middletown, OH",c,c,c,b,a,a,b,1.049,0.62,0,0,0,0,0.89,175.02,0.27,10.13,2.66,1.05,45,45,-2,78,90,-2,0.13,0.42,0,-2,-2,-2,5,90,91,85
Auburn Community Hospital,"17 Lansing Street Auburn, NY",c,b,c,c,c,c,c,-1,1.629,-1,0.355,-1,0,0.91,-1,0.24,7.08,3.84,1.42,100,75,60,72,86,120,0.16,0.244,0,100,120,100,50,88,89,78
Aurora BayCare Medical Center,"2845 Greenbrier Road Green Bay, WI",b,b,b,b,a,a,a,1.008,0.638,0.841,2.796,1.03,0,1.1,151.84,0.22,12.64,3.02,0.89,45,45,-2,83,94,-2,0.11,0.613,0,-2,-2,-2,-2,94,94,91
Augusta University Medical Center,"1120 15th Street Augusta, GA",c,c,c,c,c,d,d,1.085,1.444,1.285,0.741,2.922,0,1.29,170.9,0.31,6.82,6.57,1.15,100,100,60,80,88,120,0.48,0.806,0,100,120,94.12,100,92,91,81
Atrium Health Stanly,"301 Yadkin Street Albemarle, NC",c,c,c,c,b,a,a,-1,0.865,-1,1.238,-1,0,0.92,-1,0.25,6.2,5.21,1.17,100,100,60,79,86,120,2.07,0.699,0,100,120,100,5,91,92,85
Aultman Hospital,"2600 Sixth Street SW Canton, OH",b,b,b,b,c,c,b,0.388,0.711,0.401,0.755,0.382,0,0.8,149.36,0.22,2.69,4.62,1.56,40,100,54,76,83,120,0.72,0.561,0,100,110.77,100,100,90,91,84
Aurora Lakeland Medical Center,"W3985 County Road NN Elkhorn, WI",a,a,a,a,b,a,a,-1,0.744,-1,0.918,-1,0,0.93,-1,0.25,5.4,3.67,1.19,45,45,-2,85,91,-2,0.28,0,0,-2,-2,-2,-2,92,94,88
Aurelia Osborn Fox Memorial Hospital,"1 Norton Avenue Oneonta, NY",b,c,b,a,b,b,c,-1,1.495,-1,0.908,-1,0,0.94,-1,0.25,8.54,4.07,1.22,100,100,60,82,88,120,0.3,0.888,0,100,120,100,-1,90,93,87
Aurora Medical Center - Manitowoc County,"5000 Memorial Drive Two Rivers, WI",a,a,c,c,a,a,a,-1,0,-1,-1,-1,0,0.94,-1,0.26,6.2,3.13,1.23,45,45,-2,83,90,-2,0.31,0,0,-2,-2,-2,-1,94,93,89
Aurora Medical Center Grafton,"975 PORT WASHINGTON ROAD GRAFTON, WI",b,a,c,c,b,a,a,0.691,1.082,0.789,1.055,0.872,0,0.88,149.35,0.31,4.17,3.29,0.98,45,45,-2,84,91,-2,0.56,0.393,0,-2,-2,-2,-2,93,94,89
Aurora Medical Center Burlington,"252 McHenry Street Burlington, WI",b,a,b,b,a,a,b,-1,1.041,-1,0,0,0,0.91,-1,0.31,4.64,3.02,1.16,45,45,-2,81,91,-2,0.29,0.476,0,-2,-2,-2,-2,92,92,87
Aurora Medical Center Summit,"36500 Aurora Drive Summit, WI",b,b,c,c,c,c,c,-1,0.792,0.575,1.913,0.785,0,0.92,-1,0.25,5.98,2.59,1.13,45,45,-2,84,88,-2,0.92,0,0,-2,-2,-2,-2,93,94,88
Aurora Medical Center of Kenosha,"10400 S. 75th Street Kenosha, WI",b,b,a,b,a,b,a,-1,0.947,1.608,0.781,0.414,0,0.89,-1,0.33,9.14,2.47,1.04,45,45,-2,82,91,-2,0.19,0.745,0,-2,-2,-2,-2,93,93,91
Aurora Sheboygan Memorial Medical Center,"2629 N. 7th Street Sheboygan, WI",a,a,a,a,a,a,a,-1,0.217,-1,0.714,0.655,0,0.92,-1,0.3,4.64,3.05,1.16,45,45,-2,82,92,-2,0.27,0,0,-2,-2,-2,-1,93,93,87
Aurora Medical Center of Washington County,"1032 E. Sumner Street Hartford, WI",a,a,a,a,ns,ns,ns,-1,0.792,-1,-1,-1,0,0.95,-1,0.26,8.01,3.3,1.25,45,45,-2,86,91,-2,0.33,0,0,-2,-2,-2,-1,94,95,92
Aurora Medical Center of Oshkosh,"855 N. Westhaven Drive Oshkosh, WI",c,c,c,c,b,a,a,-1,1.074,0,0.826,0,0.362,0.92,-1,0.25,5.52,2.83,1.44,45,45,-2,80,92,-2,0.99,0,0,-2,-2,-2,-2,93,94,89
Aurora Sinai Medical Center,"945 N. 12th Street Milwaukee, WI",c,c,c,c,c,b,c,0.451,0.599,0.496,0.715,1.52,0.038,0.83,179.03,0.37,16.47,4.48,0.97,45,45,-2,80,90,-2,0.7,0.575,0,-2,-2,-2,-2,93,94,85
Aurora West Allis Medical Center,"8901 W. Lincoln Avenue West Allis, WI",c,c,c,c,b,b,b,0.41,0.337,0.285,0.424,1.291,0,1.51,155.2,0.22,12.12,4.56,1.88,45,45,-2,82,90,-2,0.71,0.348,0,-2,-2,-2,5,93,92,84
Aventura Hospital and Medical Center,"20900 Biscayne Boulevard Aventura, FL",c,c,c,c,c,b,a,1.029,0.921,2.509,0.94,1.216,0,0.87,165.22,0.26,12.64,2.6,1.14,100,100,60,68,78,120,0.26,0.739,0,100,120,100,100,88,86,79
Avera St Mary's Hospital,"801 East Sioux Avenue Pierre, SD",a,a,a,a,ns,a,a,-1,0.251,-1,-1,-1,0,0.94,-1,0.26,6.2,3.9,1.25,45,45,-2,81,87,-2,0.34,0,0,-2,-2,-2,-2,93,93,90
"Aurora St Luke's Medical Center of Aurora Health Care Metro, Inc","2900 W. Oklahoma Avenue Milwaukee, WI",c,c,c,c,c,c,c,0.451,0.599,0.496,0.715,1.52,0.038,0.83,179.03,0.37,16.47,4.48,0.97,45,45,-2,80,90,-2,0.7,0.575,0,-2,-2,-2,5,93,94,85
Avera McKennan Hospital and University Health Center,"1325 South Cliff Avenue Sioux Falls, SD",d,c,c,c,c,b,b,0.788,0.55,1.071,0.6,2.786,0.151,0.69,165.96,0.28,8.54,4.42,1.47,45,45,-2,77,86,-2,0.41,0.075,0,-2,-2,-2,5,90,90,84
Avera Sacred Heart Hospital,"501 Summit Avenue Yankton, SD",c,c,b,b,a,a,a,-1,0.584,-1,0.826,0.84,0,0.92,-1,0.25,4.67,3.55,1.14,45,45,-2,82,90,-2,0.23,1.133,0,-2,-2,-2,5,93,92,87
Avera St. Luke's Hospital,"305 South State Street Aberdeen, SD",c,b,c,c,c,c,c,-1,1.004,-1,-1,1.155,0,1.18,162.72,0.28,5.87,3.54,1.04,45,45,-2,81,91,-2,0.39,0.622,0,-2,-2,-2,-2,92,93,88
Aurora St. Luke's South Shore,"5900 S. Lake Drive Cudahy, WI",c,c,c,c,c,c,c,0.451,0.599,0.496,0.715,1.52,0.038,0.83,179.03,0.37,16.47,4.48,0.97,45,45,-2,80,90,-2,0.7,0.575,0,-2,-2,-2,5,93,94,85
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL RD PHOENIX, AZ",c,b,b,b,c,c,c,0.879,0.517,0.852,0.151,1.292,0.094,1.17,168.76,0.22,16.47,2.21,1.17,70,75,-2,79,88,-2,0.37,0.658,0,-2,-2,-2,100,90,90,85
BANNER BAYWOOD MEDICAL CENTER,"6644 E. BAYWOOD AVE MESA, AZ",b,b,b,b,c,b,b,0.457,0.462,0.392,0.346,0.663,0,1.01,165.74,0.23,14.97,3.05,1.36,70,75,-2,80,87,-2,0.2,0.344,0,-2,-2,-2,100,86,88,81
BANNER DESERT MEDICAL CENTER,"1400 SOUTH DOBSON ROAD MESA, AZ",c,c,c,c,b,b,b,0.492,0.572,0.406,0.433,0.544,0,0.75,165.99,0.39,16.06,4.23,0.92,70,75,-2,77,87,-2,0.32,1.022,0,-2,-2,-2,100,87,90,81
BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD PHOENIX, AZ",a,a,a,a,a,a,a,0.641,0.304,0.609,0.43,1.271,0,0.89,141.92,0.27,7.58,3.52,1.05,100,75,-2,80,87,-2,0.31,0.434,0,-2,-2,-2,100,91,91,83
BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD GILBERT, AZ",c,b,c,c,c,a,b,2.101,1.865,0,1.078,1.019,0,0.85,162.29,0.33,12.54,5.72,0.99,100,75,-2,78,88,-2,0.3,0,0,-2,-2,-2,100,89,91,85
BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD GLENDALE, AZ",c,c,c,c,b,c,c,0.544,0.286,0.898,0.468,1.185,0,0.83,137.6,0.32,16.47,4.52,1.33,70,75,-2,75,88,-2,0.17,0.975,0,-2,-2,-2,100,89,88,80
BLAKE MEDICAL CENTER,"2020 59TH ST W BRADENTON, FL",b,c,c,b,c,c,c,1.192,0.483,0.304,1.335,0.357,0,0.84,155.88,0.38,9.26,3.48,1.16,100,100,60,75,83,120,0.16,0.153,0,100,110.77,94.12,100,88,89,82
BANNER DEL E WEBB MEDICAL CENTER,"14502 WEST MEEKER BLVD SUN CITY WEST, AZ",b,b,b,a,b,b,b,0.536,0.862,0.214,0.474,0,0,0.83,142.01,0.23,10.09,4.75,1.34,70,75,-2,76,88,-2,0.18,0.68,0,-2,-2,-2,100,89,89,84
BMHMC  DBA  LI COMMUNITY HOSPITAL,"101 Hospital Road Patchogue, NY",c,c,d,d,f,d,ns,0.676,0.755,1.008,0.583,0,0,0.85,185.62,0.28,6.38,7.03,1.37,100,100,60,71,83,120,0.25,0.697,0,100,120,100,100,85,86,76
BANNER BOSWELL MEDICAL CENTER,"10401 W THUNDERBIRD BLVD SUN CITY, AZ",a,a,a,a,b,b,a,0.655,0.626,0.514,0.861,0.876,0,0.76,128.49,0.43,11.37,3.04,0.76,70,75,-2,77,89,-2,0.24,0.098,0,-2,-2,-2,100,88,90,87
